market,profit,timestamp,iso_ts,buy_price,amount,reason
F-EUR,-14.529999999999998,1759482582.6558816,2025-10-03T09:09:42.655882Z,0.011165760249007152,1301.2996585961973,saldo_error
F-EUR,-14.529999999999998,1759482582.6558816,2025-10-03T09:09:42.655882Z,0.011165760249007152,1301.2996585961973,saldo_error
ACE-EUR,-10.203323254428046,1759574846.4367862,2025-10-04T10:47:26.436786Z,0.39805,25.633270328923615,saldo_error
ACT-EUR,-10.12435338359345,1759579507.91685,2025-10-04T12:05:07.916850Z,0.027729,365.1178687869541,saldo_error
SAND-EUR,-10.110773857706754,1759475307.784994,2025-10-03T07:08:27.784994Z,0.24053,42.035396240413895,saldo_error
SAND-EUR,-10.110773857706754,1759475307.784994,2025-10-03T07:08:27.784994Z,0.24053,42.035396240413895,saldo_error
WCT-EUR,-10.082462406320694,1759560408.4881124,2025-10-04T06:46:48.488112Z,0.21032,47.938676332829466,saldo_error
WCT-EUR,-10.082462406320694,1759560408.4881124,2025-10-04T06:46:48.488112Z,0.21032,47.938676332829466,saldo_error
RAY-EUR,-10.048740926100608,1759622965.0612652,2025-10-05T00:09:25.061265Z,2.4317,4.132393356952177,saldo_error
RAY-EUR,-10.048740926100608,1759622965.0612652,2025-10-05T00:09:25.061265Z,2.4317,4.132393356952177,saldo_error
SUI-EUR,-10.020231424930783,1759614776.3060899,2025-10-04T21:52:56.306090Z,3.0047,3.334852539331974,saldo_error
SUI-EUR,-10.020231424930783,1759614776.3060899,2025-10-04T21:52:56.306090Z,3.0047,3.334852539331974,saldo_error
FET-EUR,-10.010901768653573,1759586732.84832,2025-10-04T14:05:32.848320Z,0.49648,20.163756382238105,saldo_error
TRX-EUR,-10.00960290588479,1759600535.2908711,2025-10-04T17:55:35.290871Z,0.29024,34.48733084993381,saldo_error
TRX-EUR,-10.00960290588479,1759600535.2908711,2025-10-04T17:55:35.290871Z,0.29024,34.48733084993381,saldo_error
JUP-EUR,-9.83,1759588216.024849,2025-10-04T14:30:16.024849Z,0.38639,25.440616993193405,saldo_error
HAEDAL-EUR,-9.83,1759592449.711137,2025-10-04T15:40:49.711137Z,0.11138,88.25641946489495,saldo_error
HONEY-EUR,-9.83,1759579554.7053149,2025-10-04T12:05:54.705315Z,0.012223,804.2215495377567,saldo_error
JUP-EUR,-9.83,1759588216.024849,2025-10-04T14:30:16.024849Z,0.38639,25.440616993193405,saldo_error
HAEDAL-EUR,-9.83,1759592449.711137,2025-10-04T15:40:49.711137Z,0.11138,88.25641946489495,saldo_error
