market,amount,price,profit,timestamp,iso_ts,status
MAGIC-EUR,36.829134720700985,0.14461919999999998,-5.379999999999999,1759596772.7403858,2025-10-04T16:52:52.740386+00:00,planned_dryrun
USDC-EUR,9.598625212799794,0.8406288,-8.150384640692561,1759600555.1401474,2025-10-04T17:55:55.140147+00:00,planned_dryrun
CAKE-EUR,2.9715482180796724,2.853477,-8.56489342897104,1759594013.4397054,2025-10-04T16:06:53.439705+00:00,planned_dryrun
MINA-EUR,56.71662796425305,0.14068889999999998,-8.06,1759591618.8734286,2025-10-04T15:26:58.873429+00:00,planned_dryrun
ETHFI-EUR,5.644914095299509,1.508463,-8.601155607007861,1759590762.0626247,2025-10-04T15:12:42.062625+00:00,planned_dryrun
XRP-EUR,3.5560906668096015,2.5243613999999996,-9.06753334767113,1759591159.8121743,2025-10-04T15:19:19.812174+00:00,planned_dryrun
MOODENG-EUR,60.15110152349987,0.14386680000000002,-8.741158073395,1759641030.739887,2025-10-05T05:10:30.739887+00:00,planned_dryrun
AIXBT-EUR,101.24178566877903,0.08170371,-8.355383329458665,1759590678.4770904,2025-10-04T15:11:18.477090+00:00,planned_dryrun
WLD-EUR,8.679059992854537,1.062171,-9.311763466333632,1759602081.0850608,2025-10-04T18:21:21.085061+00:00,planned_dryrun
STX-EUR,18.34992219362734,0.5034744,-9.33203643079112,1759625414.2893634,2025-10-05T00:50:14.289363+00:00,planned_dryrun
